Time,Float_Position,Float_Angle,Posit_Position,Posit_Angle,Quire_Position,Quire_Angle
2.54,-0.0531981,-0.00127922,-0.0531981,-0.00127921,-0.0531981,-0.00127921
2.56,-0.0525067,-0.00118239,-0.0525066,-0.00118239,-0.0525066,-0.00118239
2.58,-0.0518128,-0.00108714,-0.0518128,-0.00108714,-0.0518128,-0.00108714
2.6,-0.051117,-0.000993472,-0.0511169,-0.000993467,-0.0511169,-0.000993467
2.62,-0.0504192,-0.000901377,-0.0504192,-0.000901373,-0.0504192,-0.000901373
2.64,-0.04972,-0.000810855,-0.0497199,-0.000810851,-0.0497199,-0.000810851
2.66,-0.0490193,-0.000721902,-0.0490193,-0.000721897,-0.0490193,-0.000721897
2.68,-0.0483177,-0.000634514,-0.0483176,-0.000634509,-0.0483176,-0.000634509
2.7,-0.0476151,-0.000548686,-0.0476151,-0.000548681,-0.0476151,-0.000548681
2.72,-0.046912,-0.000464414,-0.0469119,-0.000464409,-0.0469119,-0.000464409
2.74,-0.0462085,-0.000381692,-0.0462084,-0.000381687,-0.0462084,-0.000381687
2.76,-0.0455048,-0.000300515,-0.0455047,-0.000300511,-0.0455047,-0.000300511
2.78,-0.0448012,-0.000220878,-0.0448011,-0.000220873,-0.0448011,-0.000220873
2.8,-0.0440979,-0.000142773,-0.0440978,-0.000142769,-0.0440978,-0.000142769
2.82,-0.043395,-6.61946e-05,-0.043395,-6.61902e-05,-0.043395,-6.61902e-05
2.84,-0.0426929,8.86467e-06,-0.0426929,8.86912e-06,-0.0426929,8.86912e-06
2.86,-0.0419917,8.24121e-05,-0.0419917,8.24165e-05,-0.0419917,8.24165e-05
2.88,-0.0412916,0.000154455,-0.0412916,0.00015446,-0.0412916,0.00015446
2.9,-0.0405928,0.000225002,-0.0405928,0.000225006,-0.0405928,0.000225006
2.92,-0.0398955,0.000294061,-0.0398955,0.000294065,-0.0398955,0.000294065
2.94,-0.0391999,0.00036164,-0.0391998,0.000361644,-0.0391998,0.000361644
2.96,-0.0385061,0.000427748,-0.0385061,0.000427752,-0.0385061,0.000427752
2.98,-0.0378144,0.000492395,-0.0378143,0.000492399,-0.0378143,0.000492399
3,-0.0371248,0.00055559,-0.0371248,0.000555594,-0.0371248,0.000555594
3.02,-0.0364377,0.000617342,-0.0364376,0.000617346,-0.0364376,0.000617346
3.04,-0.0357531,0.000677661,-0.035753,0.000677665,-0.035753,0.000677665
3.06,-0.0350711,0.000736557,-0.0350711,0.000736561,-0.0350711,0.000736561
3.08,-0.0343921,0.000794042,-0.0343921,0.000794046,-0.0343921,0.000794046
3.1,-0.0337161,0.000850125,-0.033716,0.000850129,-0.033716,0.000850129
3.12,-0.0330432,0.000904817,-0.0330431,0.000904821,-0.0330431,0.000904821
3.14,-0.0323736,0.000958129,-0.0323736,0.000958133,-0.0323736,0.000958133
3.16,-0.0317075,0.00101007,-0.0317074,0.00101008,-0.0317074,0.00101008
3.18,-0.0310449,0.00106066,-0.0310449,0.00106066,-0.0310449,0.00106066
3.2,-0.0303861,0.0011099,-0.0303861,0.00110991,-0.0303861,0.00110991
3.22,-0.0297311,0.00115781,-0.0297311,0.00115781,-0.0297311,0.00115781
3.24,-0.0290801,0.0012044,-0.0290801,0.0012044,-0.0290801,0.0012044
3.26,-0.0284332,0.00124967,-0.0284332,0.00124968,-0.0284332,0.00124968
3.28,-0.0277905,0.00129365,-0.0277905,0.00129366,-0.0277905,0.00129366
3.3,-0.0271521,0.00133635,-0.0271521,0.00133635,-0.0271521,0.00133635
3.32,-0.0265182,0.00137777,-0.0265181,0.00137777,-0.0265181,0.00137777
3.34,-0.0258888,0.00141793,-0.0258887,0.00141794,-0.0258887,0.00141794
3.36,-0.025264,0.00145685,-0.025264,0.00145685,-0.025264,0.00145685
3.38,-0.024644,0.00149454,-0.0246439,0.00149454,-0.0246439,0.00149454
3.4,-0.0240288,0.001531,-0.0240288,0.001531,-0.0240288,0.001531
3.42,-0.0234186,0.00156626,-0.0234185,0.00156626,-0.0234185,0.00156626
3.44,-0.0228133,0.00160032,-0.0228133,0.00160032,-0.0228133,0.00160032
3.46,-0.0222132,0.0016332,-0.0222132,0.00163321,-0.0222132,0.00163321
3.48,-0.0216183,0.00166492,-0.0216183,0.00166492,-0.0216183,0.00166492
3.5,-0.0210287,0.00169548,-0.0210286,0.00169548,-0.0210286,0.00169548
3.52,-0.0204444,0.00172491,-0.0204444,0.00172491,-0.0204444,0.00172491
3.54,-0.0198655,0.00175321,-0.0198655,0.00175321,-0.0198655,0.00175321
3.56,-0.0192922,0.00178039,-0.0192921,0.0017804,-0.0192921,0.0017804
3.58,-0.0187243,0.00180648,-0.0187243,0.00180648,-0.0187243,0.00180648
3.6,-0.0181621,0.00183149,-0.0181621,0.00183149,-0.0181621,0.00183149
3.62,-0.0176056,0.00185543,-0.0176056,0.00185543,-0.0176056,0.00185543
3.64,-0.0170549,0.00187831,-0.0170548,0.00187831,-0.0170548,0.00187831
3.66,-0.0165099,0.00190015,-0.0165099,0.00190015,-0.0165099,0.00190015
3.68,-0.0159708,0.00192096,-0.0159708,0.00192096,-0.0159708,0.00192096
3.7,-0.0154376,0.00194076,-0.0154375,0.00194076,-0.0154375,0.00194076
3.72,-0.0149103,0.00195956,-0.0149103,0.00195956,-0.0149103,0.00195956
3.74,-0.014389,0.00197738,-0.014389,0.00197738,-0.014389,0.00197738
3.76,-0.0138738,0.00199422,-0.0138737,0.00199422,-0.0138737,0.00199422
3.78,-0.0133646,0.00201011,-0.0133645,0.00201011,-0.0133645,0.00201011
3.8,-0.0128615,0.00202506,-0.0128615,0.00202506,-0.0128615,0.00202506
3.82,-0.0123645,0.00203908,-0.0123645,0.00203908,-0.0123645,0.00203908
3.84,-0.0118738,0.00205219,-0.0118737,0.00205219,-0.0118737,0.00205219
3.86,-0.0113892,0.0020644,-0.0113891,0.0020644,-0.0113891,0.0020644
3.88,-0.0109108,0.00207573,-0.0109108,0.00207573,-0.0109108,0.00207573
3.9,-0.0104387,0.00208618,-0.0104387,0.00208619,-0.0104387,0.00208619
3.92,-0.00997283,0.00209578,-0.0099728,0.00209579,-0.0099728,0.00209579
3.94,-0.00951325,0.00210454,-0.00951322,0.00210454,-0.00951322,0.00210454
3.96,-0.00905997,0.00211247,-0.00905994,0.00211248,-0.00905994,0.00211248
3.98,-0.008613,0.00211959,-0.00861297,0.00211959,-0.00861297,0.00211959
4,-0.00817235,0.00212591,-0.00817233,0.00212591,-0.00817233,0.00212591
4.02,-0.00773804,0.00213145,-0.00773801,0.00213145,-0.00773801,0.00213145
4.04,-0.00731006,0.00213621,-0.00731004,0.00213621,-0.00731004,0.00213621
4.06,-0.00688843,0.00214022,-0.0068884,0.00214022,-0.0068884,0.00214022
4.08,-0.00647314,0.00214348,-0.00647312,0.00214348,-0.00647312,0.00214348
4.1,-0.00606421,0.00214601,-0.00606418,0.00214601,-0.00606418,0.00214601
4.12,-0.00566162,0.00214783,-0.00566159,0.00214783,-0.00566159,0.00214783
4.14,-0.00526537,0.00214895,-0.00526534,0.00214895,-0.00526534,0.00214895
4.16,-0.00487546,0.00214938,-0.00487543,0.00214938,-0.00487543,0.00214938
4.18,-0.00449188,0.00214914,-0.00449186,0.00214914,-0.00449186,0.00214914
4.2,-0.00411463,0.00214824,-0.0041146,0.00214824,-0.0041146,0.00214824
4.22,-0.00374368,0.00214669,-0.00374366,0.00214669,-0.00374366,0.00214669
4.24,-0.00337904,0.0021445,-0.00337902,0.0021445,-0.00337902,0.0021445
4.26,-0.00302069,0.0021417,-0.00302066,0.0021417,-0.00302066,0.0021417
4.28,-0.0026686,0.00213829,-0.00266858,0.00213829,-0.00266858,0.00213829
4.3,-0.00232277,0.00213429,-0.00232275,0.00213429,-0.00232275,0.00213429
4.32,-0.00198318,0.00212971,-0.00198316,0.00212971,-0.00198316,0.00212971
4.34,-0.0016498,0.00212456,-0.00164978,0.00212456,-0.00164978,0.00212456
4.36,-0.00132261,0.00211886,-0.00132259,0.00211886,-0.00132259,0.00211886
4.38,-0.0010016,0.00211262,-0.00100158,0.00211261,-0.00100158,0.00211261
4.4,-0.000686727,0.00210584,-0.000686708,0.00210584,-0.000686708,0.00210584
4.42,-0.000377975,0.00209856,-0.000377956,0.00209856,-0.000377957,0.00209856
4.44,-7.53145e-05,0.00209077,-7.52961e-05,0.00209077,-7.52966e-05,0.00209077
4.46,0.000221283,0.00208249,0.000221301,0.00208249,0.000221301,0.00208248
4.48,0.000511849,0.00207373,0.000511866,0.00207373,0.000511866,0.00207373
4.5,0.000796413,0.0020645,0.00079643,0.0020645,0.000796429,0.0020645
4.52,0.00107501,0.00205483,0.00107503,0.00205483,0.00107502,0.00205483
4.54,0.00134767,0.00204471,0.00134769,0.00204471,0.00134769,0.00204471
4.56,0.00161443,0.00203416,0.00161445,0.00203416,0.00161445,0.00203416
4.58,0.00187533,0.0020232,0.00187534,0.00202319,0.00187534,0.00202319
4.6,0.0021304,0.00201182,0.00213041,0.00201182,0.00213041,0.00201182
4.62,0.00237968,0.00200006,0.0023797,0.00200006,0.0023797,0.00200006
4.64,0.00262322,0.00198791,0.00262323,0.00198791,0.00262323,0.00198791
4.66,0.00286104,0.0019754,0.00286105,0.00197539,0.00286105,0.00197539
4.68,0.0030932,0.00196252,0.00309321,0.00196252,0.00309321,0.00196252
4.7,0.00331973,0.00194929,0.00331974,0.00194929,0.00331974,0.00194929
4.72,0.00354068,0.00193573,0.00354069,0.00193573,0.00354069,0.00193573
4.74,0.00375609,0.00192184,0.0037561,0.00192184,0.0037561,0.00192184
4.76,0.00396601,0.00190764,0.00396602,0.00190763,0.00396602,0.00190763
4.78,0.00417048,0.00189313,0.00417049,0.00189312,0.00417049,0.00189312
4.8,0.00436954,0.00187832,0.00436955,0.00187832,0.00436955,0.00187832
4.82,0.00456325,0.00186324,0.00456326,0.00186323,0.00456326,0.00186323
4.84,0.00475166,0.00184788,0.00475167,0.00184787,0.00475167,0.00184787
4.86,0.0049348,0.00183225,0.00493481,0.00183225,0.00493481,0.00183225
4.88,0.00511274,0.00181638,0.00511275,0.00181638,0.00511275,0.00181638
4.9,0.00528552,0.00180026,0.00528553,0.00180026,0.00528552,0.00180026
4.92,0.00545318,0.00178391,0.00545319,0.00178391,0.00545319,0.00178391
4.94,0.00561579,0.00176733,0.0056158,0.00176733,0.0056158,0.00176733
4.96,0.00577339,0.00175054,0.0057734,0.00175054,0.0057734,0.00175054
4.98,0.00592603,0.00173355,0.00592604,0.00173355,0.00592604,0.00173355
5,0.00607377,0.00171636,0.00607378,0.00171636,0.00607378,0.00171636
5.02,0.00621666,0.00169899,0.00621667,0.00169899,0.00621667,0.00169899
5.04,0.00635476,0.00168144,0.00635476,0.00168144,0.00635476,0.00168144
5.06,0.00648811,0.00166373,0.00648811,0.00166372,0.00648811,0.00166372
5.08,0.00661677,0.00164585,0.00661678,0.00164585,0.00661678,0.00164585
5.1,0.0067408,0.00162783,0.0067408,0.00162782,0.0067408,0.00162782
5.12,0.00686024,0.00160966,0.00686025,0.00160966,0.00686025,0.00160966
5.14,0.00697517,0.00159136,0.00697517,0.00159136,0.00697517,0.00159136
5.16,0.00708562,0.00157294,0.00708562,0.00157293,0.00708562,0.00157293
5.18,0.00719166,0.0015544,0.00719166,0.00155439,0.00719166,0.00155439
5.2,0.00729334,0.00153575,0.00729334,0.00153575,0.00729334,0.00153575
5.22,0.00739072,0.001517,0.00739072,0.001517,0.00739072,0.001517
5.24,0.00748385,0.00149816,0.00748386,0.00149816,0.00748386,0.00149816
5.26,0.0075728,0.00147923,0.0075728,0.00147923,0.0075728,0.00147923
5.28,0.00765762,0.00146023,0.00765762,0.00146023,0.00765762,0.00146023
5.3,0.00773836,0.00144116,0.00773836,0.00144116,0.00773836,0.00144116
5.32,0.00781508,0.00142202,0.00781508,0.00142202,0.00781508,0.00142202
5.34,0.00788784,0.00140283,0.00788784,0.00140283,0.00788784,0.00140283
5.36,0.00795669,0.0013836,0.00795669,0.00138359,0.00795669,0.00138359
5.38,0.0080217,0.00136432,0.0080217,0.00136432,0.0080217,0.00136432
5.4,0.00808292,0.001345,0.00808292,0.001345,0.00808292,0.001345
5.42,0.00814041,0.00132566,0.00814041,0.00132566,0.00814041,0.00132566
5.44,0.00819422,0.0013063,0.00819422,0.0013063,0.00819422,0.0013063
5.46,0.00824442,0.00128692,0.00824442,0.00128692,0.00824442,0.00128692
5.48,0.00829105,0.00126753,0.00829105,0.00126753,0.00829105,0.00126753
5.5,0.00833419,0.00124814,0.00833419,0.00124814,0.00833418,0.00124814
5.52,0.00837387,0.00122876,0.00837387,0.00122876,0.00837387,0.00122876
5.54,0.00841017,0.00120938,0.00841017,0.00120938,0.00841017,0.00120938
5.56,0.00844313,0.00119002,0.00844313,0.00119002,0.00844313,0.00119002
5.58,0.00847282,0.00117068,0.00847282,0.00117068,0.00847282,0.00117068
5.6,0.00849929,0.00115137,0.00849929,0.00115137,0.00849929,0.00115137
5.62,0.0085226,0.00113209,0.00852259,0.00113209,0.00852259,0.00113209
5.64,0.0085428,0.00111285,0.0085428,0.00111285,0.00854279,0.00111285
5.66,0.00855995,0.00109365,0.00855995,0.00109364,0.00855995,0.00109364
5.68,0.00857411,0.00107449,0.0085741,0.00107449,0.0085741,0.00107449
5.7,0.00858533,0.00105539,0.00858532,0.00105539,0.00858532,0.00105539
5.72,0.00859367,0.00103635,0.00859366,0.00103635,0.00859366,0.00103635
5.74,0.00859918,0.00101737,0.00859917,0.00101737,0.00859917,0.00101737
